Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
get_config,1029343,375,39,1296,2107,4327,0,127308,"0,051%","796,65763","188,38","193,45"
TOTAL,1029343,375,39,1296,2107,4327,0,127308,"0,051%","796,65763","188,38","193,45"
