Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
get_config,355004,27,15,101,121,144,0,280,"0,007%","888,14280","209,55","215,72"
TOTAL,355004,27,15,101,121,144,0,280,"0,007%","888,14280","209,55","215,72"
