Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
get_config,446802,58,27,238,275,316,0,508,"0,011%","846,75154","199,87","205,65"
TOTAL,446802,58,27,238,275,316,0,508,"0,011%","846,75154","199,87","205,65"
