Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
get_config,345599,6,6,10,12,42,0,163,"0,003%","1453,04295","342,70","352,93"
TOTAL,345599,6,6,10,12,42,0,163,"0,003%","1453,04295","342,70","352,93"
