Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
get_config,277154,115,36,606,671,744,0,1226,"0,036%","851,69137","201,54","206,80"
TOTAL,277154,115,36,606,671,744,0,1226,"0,036%","851,69137","201,54","206,80"
