Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
get_config,231397,3,3,5,5,7,0,117,"0,002%","1590,08418","374,97","386,23"
TOTAL,231397,3,3,5,5,7,0,117,"0,002%","1590,08418","374,97","386,23"
