Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
get_config,385830,253,36,1233,1322,2289,0,16727,"0,052%","779,23730","184,69","189,18"
TOTAL,385830,253,36,1233,1322,2289,0,16727,"0,052%","779,23730","184,69","189,18"
