Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
get_config,353311,517,35,1324,2283,8158,0,127380,"0,136%","763,87934","182,16","185,34"
TOTAL,353311,517,35,1324,2283,8158,0,127380,"0,136%","763,87934","182,16","185,34"
